Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 Arizona 2021,5.12,0.267,0.339,0.807,1480,893,806,232,555,1238,0.236,0.692,5489,679,1297,308,31,144,537,1465,52,110,0.321,No
 Atlanta 2021,3.88,0.234,0.308,0.7,1237,656,608,183,516,1417,0.244,0.754,5363,790,1307,269,20,239,549,1453,88,73,0.547,Yes
 Baltimore 2021,5.85,0.273,0.344,0.817,1518,956,911,258,563,1234,0.239,0.705,5420,659,1296,266,15,195,451,1454,52,110,0.321,No
 Boston 2021,4.27,0.258,0.332,0.749,1409,749,673,176,546,1527,0.261,0.777,5495,829,1434,330,23,219,512,1386,92,70,0.568,Yes
 Chi. Cubs 2021,4.87,0.255,0.338,0.78,1386,839,765,235,596,1358,0.236,0.718,5306,705,1253,225,25,210,502,1596,71,91,0.438,No
 Chi. White Sox 2021,3.73,0.229,0.298,0.679,1205,636,581,182,485,1588,0.256,0.758,5357,796,1373,275,22,190,586,1389,93,69,0.574,Yes
 Cincinnati 2021,4.41,0.244,0.327,0.744,1330,760,703,206,617,1524,0.249,0.759,5423,786,1351,295,13,222,553,1425,83,79,0.512,No
 Cleveland 2021,4.34,0.24,0.313,0.73,1281,727,679,216,522,1391,0.238,0.71,5332,717,1269,248,22,203,453,1387,80,82,0.494,No
 Colorado 2021,4.82,0.26,0.332,0.767,1397,796,748,196,539,1269,0.249,0.731,5374,739,1338,275,34,182,491,1356,74,87,0.46,No
 Detroit 2021,4.32,0.252,0.329,0.748,1370,756,681,199,571,1259,0.242,0.707,5376,697,1299,236,37,179,490,1514,77,85,0.475,No
 Houston 2021,3.78,0.228,0.306,0.688,1231,658,607,187,549,1456,0.267,0.783,5593,863,1496,299,14,221,569,1222,95,67,0.586,Yes
 Kansas City 2021,4.64,0.254,0.332,0.747,1375,788,731,189,591,1344,0.249,0.702,5427,686,1349,251,29,163,421,1258,74,88,0.457,No
 LA Angels 2021,4.69,0.251,0.33,0.74,1373,804,741,188,592,1453,0.245,0.717,5437,723,1331,265,23,190,464,1394,77,85,0.475,No
 LA Dodgers 2021,3.01,0.207,0.28,0.624,1107,561,486,161,486,1599,0.244,0.759,5445,830,1330,247,24,237,613,1408,106,56,0.654,Yes
 Miami 2021,3.96,0.241,0.317,0.718,1282,701,622,162,529,1381,0.233,0.671,5348,623,1244,226,23,158,450,1553,67,95,0.414,No
 Milwaukee 2021,3.5,0.218,0.298,0.655,1156,623,558,168,537,1618,0.233,0.713,5362,738,1251,255,18,194,586,1465,95,67,0.586,Yes
 Minnesota 2021,4.83,0.255,0.32,0.769,1392,834,762,239,484,1317,0.241,0.738,5431,729,1311,271,17,228,525,1405,73,89,0.451,No
 NY Mets 2021,3.9,0.236,0.307,0.707,1221,668,597,190,475,1453,0.239,0.705,5210,636,1243,228,18,176,495,1392,77,85,0.475,No
 NY Yankees 2021,3.76,0.231,0.299,0.688,1243,669,600,196,492,1569,0.237,0.729,5331,711,1266,213,12,222,621,1482,92,70,0.568,Yes
 Oakland 2021,4.02,0.247,0.309,0.711,1362,687,640,191,439,1332,0.238,0.723,5395,743,1284,271,19,199,545,1349,86,76,0.531,No
 Philadelphia 2021,4.39,0.244,0.316,0.73,1321,745,692,200,509,1480,0.24,0.726,5366,734,1288,262,24,198,564,1402,82,80,0.506,No
 Pittsburgh 2021,5.08,0.26,0.341,0.787,1399,833,788,213,606,1312,0.236,0.673,5336,609,1261,240,35,124,529,1328,61,101,0.377,No
 San Diego 2021,4.1,0.237,0.312,0.722,1277,708,651,205,516,1517,0.242,0.722,5384,729,1305,273,21,180,586,1324,79,83,0.488,No
 San Francisco 2021,3.24,0.23,0.29,0.657,1253,594,523,151,416,1425,0.249,0.769,5462,804,1360,271,25,241,602,1461,107,55,0.66,Yes
 Seattle 2021,4.3,0.247,0.314,0.73,1356,748,688,197,485,1328,0.226,0.688,5355,697,1209,233,11,199,535,1492,90,72,0.556,No
 St. Louis 2021,3.98,0.233,0.32,0.694,1233,672,626,152,608,1225,0.244,0.725,5351,706,1303,261,22,198,478,1341,90,72,0.556,Yes
 Tampa Bay 2021,3.67,0.232,0.294,0.68,1264,651,594,184,436,1478,0.243,0.75,5507,857,1336,288,36,222,585,1542,100,62,0.617,Yes
